,Rank,Movie name,Date of release
0,1,The Shawshank Redemption,(1994)
1,2,The Godfather,(1972)
2,3,The Dark Knight,(2008)
3,4,The Godfather: Part II,(1974)
4,5,12 Angry Men,(1957)
5,6,The Lord of the Rings: The Return of the King,(2003)
6,7,Pulp Fiction,(1994)
7,8,Schindler's List,(1993)
8,9,Inception,(2010)
9,10,Spider-Man: No Way Home,(2021)
10,11,Fight Club,(1999)
11,12,The Lord of the Rings: The Fellowship of the Ring,(2001)
12,13,Forrest Gump,(1994)
13,14,"Il buono, il brutto, il cattivo",(1966)
14,15,The Lord of the Rings: The Two Towers,(2002)
15,16,The Matrix,(1999)
16,17,Goodfellas,(1990)
17,18,Star Wars: Episode V - The Empire Strikes Back,(1980)
18,19,One Flew Over the Cuckoo's Nest,(1975)
19,20,Gisaengchung,(2019)
20,21,Interstellar,(2014)
21,22,Cidade de Deus,(2002)
22,23,Sen to Chihiro no kamikakushi,(2001)
23,24,Saving Private Ryan,(1998)
24,25,The Green Mile,(1999)
25,26,La vita è bella,(1997)
26,27,Se7en,(1995)
27,28,The Silence of the Lambs,(1991)
28,29,Star Wars,(1977)
29,30,Seppuku,(1962)
30,31,Shichinin no samurai,(1954)
31,32,It's a Wonderful Life,(1946)
32,33,Whiplash,(2014)
33,34,The Intouchables,(2011)
34,35,The Prestige,(2006)
35,36,The Departed,(2006)
36,37,The Pianist,(2002)
37,38,Gladiator,(2000)
38,39,American History X,(1998)
39,40,The Usual Suspects,(1995)
40,41,Léon,(1994)
41,42,The Lion King,(1994)
42,43,Terminator 2: Judgment Day,(1991)
43,44,Nuovo Cinema Paradiso,(1988)
44,45,Hotaru no haka,(1988)
45,46,Back to the Future,(1985)
46,47,Once Upon a Time in the West,(1968)
47,48,Psycho,(1960)
48,49,Rear Window,(1954)
49,50,Casablanca,(1942)
