,article_names,article_links
0,'America's Dad’ Bob Saget Dies at Orlando Hotel,https://www.news4jax.com/news/local/2022/01/10/sources-americas-dad-bob-saget-dies-at-orlando-hotel/
1,"Oh, 2022",http://www.antipope.org/charlie/blog-static/2022/01/oh-2022.html
2,RSS feeds are available for many U.S. Government collections,https://www.govinfo.gov/feeds
3,Make the internet yours again with an instant mesh network,https://changelog.complete.org/archives/10319-make-the-internet-yours-again-with-an-instant-mesh-network
4,"Dev corrupts NPM libs 'colors' and 'faker', breaking thousands of apps",https://www.bleepingcomputer.com/news/security/dev-corrupts-npm-libs-colors-and-faker-breaking-thousands-of-apps/
5,SSH Agent Restriction (new in OpenSSH 8.9),https://www.openssh.com/agent-restrict.html
6,Let's Settle This,https://neal.fun/lets-settle-this/
7,Procedural Worlds from Simple Tiles,https://ijdykeman.github.io/ml/2017/10/12/wang-tile-procedural-generation.html
8,Iconoir – An Open-Source SVG Icons Library,https://iconoir.com/
9,Filling in some gaps in the story of Space Cadet Pinball on 64-bit Windows,https://devblogs.microsoft.com/oldnewthing/20220106-00/?p=106122
10,Memory leaks: the forgotten side of web performance,https://nolanlawson.com/2022/01/05/memory-leaks-the-forgotten-side-of-web-performance/
11,Astronomers Witness a Dying Star Reach Its Explosive End,https://keckobservatory.org/dying-star/
12,The Charles Mingus CAT-alog (1972),https://www.charlesmingus.com/mingus/cat-traning-program
13,CalyxOS now supports Pixel 6 and Pixel 6 Pro,https://calyxos.org/news/2022/01/08/android-12-pixel-6/
14,EasyPost (YC S13) Is Hiring Remote,https://www.easypost.com/careers
15,The vicious cycle of food and sleep,https://knowablemagazine.org/article/mind/2021/vicious-cycle-food-sleep
16,Serotonin selectively influences moral judgment and behavior,https://www.pnas.org/content/107/40/17433
17,Simplicity of IRC,https://susam.net/maze/simplicity-of-irc.html
18,Show HN: Keyboard Drill – Minimalist Typing Drill to fix common mistakes,https://keyboard-drill.com
19,Show HN: Evil Wordle,https://swag.github.io/evil-wordle/
20,Cryptoland [video],https://peertube.social/videos/watch/8f7e61ed-47ab-4e82-a5c2-5a7d5e8bcb33
21,"Show HN: Minimator, a Minimalist Graphical Editor",https://minimator.app
22,Show HN: API to query catalogs of 20 streaming services across 60 countries,https://www.movieofthenight.com/about/api
23,"awkcc: awk-to-C transcompiler (1988, 2011)",https://github.com/nokia/awkcc
24,Command Line Video Player,https://github.com/mpv-player/mpv
25,Show HN: CASA – Outsource service administration per Container,https://github.com/knrdl/casa
26,"Macrochips: A collection of laser engraved, 4 inch slate tile microchip coasters",https://www.evilgeniuslabs.org/macrochips
27,Is newborn smiling just a reflex? Research is challenging the textbooks (2018),https://theconversation.com/is-newborn-smiling-really-just-a-reflex-research-is-challenging-the-textbooks-105220
28,Far-UVC light: A tool to control the spread of airborne-mediated microbial,https://www.nature.com/articles/s41598-018-21058-w
29,Logging Is a Code Smell,https://dave.autonoma.ca/blog/2022/01/08/logging-code-smell/
